             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON) 
           6886429   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886430   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886431   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886432   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886433   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886434   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886435   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886436   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886437   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886438   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886439   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886440   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886441   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886442   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886443   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886444   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886445   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886446   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886447   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886448   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886449   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886450   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886451   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886452   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886453   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886454   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886455   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886456   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886457   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886458   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886459   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886460   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886461   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886462   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886463   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886464   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886465   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886466   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886467   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886468   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886469   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886470   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886471   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886472   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886473   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886474   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886475   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886476   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886477   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886478   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886479   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886480   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886481   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886482   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886483   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886484   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886485   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886486   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886487   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886488   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886489   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886490   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886491   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886492   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886493   general Mar120_4     lzou PD       0:00      1 (Priority) 
           6886494   general Mar120_5     lzou PD       0:00      1 (Priority) 
           6886495   general Mar120_6     lzou PD       0:00      1 (Priority) 
           6886496   general Mar120_7     lzou PD       0:00      1 (Priority) 
           6886497   general Mar120_8     lzou PD       0:00      1 (Priority) 
           6886498   general Mar120_9     lzou PD       0:00      1 (Priority) 
           6886499   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886500   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886501   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886502   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886503   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886504   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886505   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886506   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886507   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886508   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886509   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886510   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886511   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886512   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886513   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886514   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886515   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886516   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886517   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886518   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886519   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886520   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886521   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886522   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886523   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886524   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886525   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886526   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886527   general Mar120_3     lzou PD       0:00      1 (None) 
           6886528   general Mar120_3     lzou PD       0:00      1 (None) 
           6886529   general Mar120_4     lzou PD       0:00      1 (None) 
           6886530   general Mar120_4     lzou PD       0:00      1 (None) 
           6886531   general Mar120_4     lzou PD       0:00      1 (None) 
           6886532   general Mar120_4     lzou PD       0:00      1 (None) 
           6886533   general Mar120_4     lzou PD       0:00      1 (None) 
           6886534   general Mar120_4     lzou PD       0:00      1 (None) 
           6886535   general Mar120_4     lzou PD       0:00      1 (None) 
           6886536   general Mar120_4     lzou PD       0:00      1 (None) 
           6886537   general Mar120_4     lzou PD       0:00      1 (None) 
           6886538   general Mar120_4     lzou PD       0:00      1 (None) 
           6886539   general Mar120_5     lzou PD       0:00      1 (None) 
           6886540   general Mar120_5     lzou PD       0:00      1 (None) 
           6886541   general Mar120_5     lzou PD       0:00      1 (None) 
           6886542   general Mar120_5     lzou PD       0:00      1 (None) 
           6886543   general Mar120_5     lzou PD       0:00      1 (None) 
           6886544   general Mar120_5     lzou PD       0:00      1 (None) 
           6886545   general Mar120_5     lzou PD       0:00      1 (None) 
           6886546   general Mar120_5     lzou PD       0:00      1 (None) 
           6886547   general Mar120_5     lzou PD       0:00      1 (None) 
           6886548   general Mar120_5     lzou PD       0:00      1 (None) 
           6886549   general Mar120_6     lzou PD       0:00      1 (None) 
           6886550   general Mar120_6     lzou PD       0:00      1 (None) 
           6886551   general Mar120_6     lzou PD       0:00      1 (None) 
           6886552   general Mar120_6     lzou PD       0:00      1 (None) 
           6886553   general Mar120_6     lzou PD       0:00      1 (None) 
           6886554   general Mar120_6     lzou PD       0:00      1 (None) 
           6886555   general Mar120_6     lzou PD       0:00      1 (None) 
           6886556   general Mar120_6     lzou PD       0:00      1 (None) 
           6886557   general Mar120_6     lzou PD       0:00      1 (None) 
           6886558   general Mar120_6     lzou PD       0:00      1 (None) 
           6886559   general Mar120_7     lzou PD       0:00      1 (None) 
           6886560   general Mar120_7     lzou PD       0:00      1 (None) 
           6886561   general Mar120_7     lzou PD       0:00      1 (None) 
           6886562   general Mar120_7     lzou PD       0:00      1 (None) 
           6886563   general Mar120_7     lzou PD       0:00      1 (None) 
 6877107_[185-323]   general text_foo     zli6 PD       0:00      1 (Priority) 
           6879508   general jonkel30 wbubberm PD       0:00      1 (Priority) 
           6882751   general aes_hd_m wbubberm PD       0:00      1 (Priority) 
           6879938   general k5-08.sh lingyung PD       0:00      1 (Priority) 
           6878603   general gap_rand pblanken PD       0:00      1 (Priority) 
           6878604   general ns_relu_ pblanken PD       0:00      1 (Priority) 
           6878605   general ns_selu_ pblanken PD       0:00      1 (Priority) 
           6878606   general relu_ran pblanken PD       0:00      1 (Priority) 
           6878607   general selu_ran pblanken PD       0:00      1 (Priority) 
           6878608   general ns_relu_ pblanken PD       0:00      1 (Priority) 
           6878609   general ns_selu_ pblanken PD       0:00      1 (Priority) 
           6878610   general relu_ran pblanken PD       0:00      1 (Priority) 
           6878611   general selu_ran pblanken PD       0:00      1 (Priority) 
           6878612   general random_m pblanken PD       0:00      1 (Priority) 
           6877982   general exp9t-ta anujsing PD       0:00      1 (Priority) 
           6878024   general exp10t-t anujsing PD       0:00      1 (Priority) 
           6879797   general exp5,1ta anujsing PD       0:00      1 (Priority) 
           6885464   general sinterac      nju  R      30:47      1 ewi2 
           6885460   general srun_esp  tbpatel  R      45:56      1 awi22 
           6885368   general FedGNNBa     jxu8  R    2:38:07      1 insy12 
           6885367   general FedGNNBa     jxu8  R    2:38:37      1 insy11 
        6885438_18   general  Triplet     lwu3  R      15:38      1 ewi2 
        6885438_19   general  Triplet     lwu3  R      15:38      1 ewi2 
        6885438_17   general  Triplet     lwu3  R      26:00      1 ewi2 
        6885438_16   general  Triplet     lwu3  R      27:56      1 ewi2 
        6885438_15   general  Triplet     lwu3  R      29:46      1 insy13 
         6885438_1   general  Triplet     lwu3  R      49:56      1 insy14 
         6885438_2   general  Triplet     lwu3  R      49:56      1 insy14 
         6885438_3   general  Triplet     lwu3  R      49:56      1 insy13 
         6885438_4   general  Triplet     lwu3  R      49:56      1 insy11 
         6885438_5   general  Triplet     lwu3  R      49:56      1 insy11 
         6885438_6   general  Triplet     lwu3  R      49:56      1 insy12 
         6885438_7   general  Triplet     lwu3  R      49:56      1 insy12 
         6885438_8   general  Triplet     lwu3  R      49:56      1 insy12 
         6885438_9   general  Triplet     lwu3  R      49:56      1 insy12 
        6885438_10   general  Triplet     lwu3  R      49:56      1 insy12 
        6885438_11   general  Triplet     lwu3  R      49:56      1 insy12 
        6885438_12   general  Triplet     lwu3  R      49:56      1 ewi2 
        6885438_13   general  Triplet     lwu3  R      49:56      1 ewi2 
